Estudiantes matriculados en programas de ingeniería de Sistemas,,,,,
Año,Matriculados,Oficial,Privada,Hombres,Mujeres
2012 - 1,"49,114","23,107","26,007","37,498","11,616"
2012 - 2,"45,374","22,075","23,299","34,884","10,490"
2013 - 1,"48,932","23,136","25,796","38,026","10,906"
2013 - 2,"46,732","23,027","23,705","36,430","10,302"
2014 - 1,"48,460","23,846","24,614","38,248","10,212"
2014 - 2,"46,666","23,804","22,862","37,000","9,666"
2015 - 1,"51,023","25,856","25,167","40,615","10,408"
2015 - 2,"49,662","25,290","24,372","39,844","9,818"
2016 - 1,"54,422","26,854","27,568","44,215","10,207"
2016 - 2,"53,345","25,829","27,516","43,413","9,932"
2017 - 1,"57,432","27,601","29,831","47,017","10,415"
2017 - 2,"54,283","25,427","28,856","44,659","9,624"
2018 - 1,"58,628","28,045","30,583","48,385","10,243"
2018 - 2,"56,224","26,406","29,818","46,465","9,759"
2019 - 1,"56,994","26,928","30,066","47,575","9,419"
2019 - 2,"56,641","26,888","29,753","47,287","9,354"
2020 - 1,"58,392","27,143","31,249","48,931","9,461"
2020 - 2,"56,594","26,909","29,685","47,231","9,363"
2021 - 1,"66,395","32,310","34,085","55,528","10,867"
2021 - 2,"67,455","33,506","33,949","56,267","11,188"
2022 - 1,"77,282","36,631","40,651","64,463","12,819"
2022 - 2,"79,327","36,200","43,127","66,032","13,295"
